time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5,ax_cmd,ay_cmd,az_cmd,controller_runtime_ms,wind_x,safe
0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28099999999999997,0.0,True
0.005,0.0,0.0,3.2,0.0,0.0,-1.0733273954080062e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-1.0733273954080062e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3021,0.0,True
0.01,0.0,0.0,3.2,0.0,0.0,-2.1466547908160123e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-2.1466547908160123e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23729999999999998,0.0,True
0.015,0.0,0.0,3.2,0.0,0.0,-3.219982186224018e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-3.219982186224018e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22199999999999998,0.0,True
0.02,0.0,0.0,3.2,0.0,0.0,-4.293309581632023e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-4.293309581632023e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21739999999999998,0.0,True
0.025,0.0,0.0,3.2,0.0,0.0,-5.3666369770400276e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-5.3666369770400276e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21699999999999997,0.0,True
0.03,0.0,0.0,3.2,0.0,0.0,-6.439964372448032e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-6.439964372448032e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2443,0.0,True
0.035,0.0,0.0,3.2,0.0,0.0,-7.513291767856037e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-7.513291767856037e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23099999999999998,0.0,True
0.04,0.0,0.0,3.2,0.0,0.0,-8.586619163264042e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-8.586619163264042e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2458,0.0,True
0.045,0.0,0.0,3.2,0.0,0.0,-9.659946558672047e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-9.659946558672047e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21309999999999998,0.0,True
0.05,0.0,0.0,3.2,0.0,0.0,-1.0733273954080052e-16,0.225,0.0,0.38999999999999996,0.0,0.0,-1.0733273954080052e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.266886992777517e-31,-2.608337669849254e-31,6.628706872432064e-16,0.1804,0.0,True
