time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,raw_ax,raw_ay,raw_az,integral_x,integral_y,integral_z,saturated,slew_limited,roll_deg,pitch_deg,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x,qp_status,qp_iterations,limiter_mismatch,steady_state_residual,steady_task_residual,d_raw_norm,d_hat_norm,d_projected_norm,d_rejected_norm
0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,1.6824,0.0,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,1.0733273954080062e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.107221894166015,129.8844,0.0,1.6824,0.0037906488810706754,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2.9512932839359265e-09,1.1711769741241528e-06,0.0,4.209600127401593e-06,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-1.0892417072368291e-07,3.589575574722817e-09,0.0,3.2,0.22500000171174175,0.0,0.3899999975958219,0.225,0.0,0.38999999999999996,0.17588507858713023,129.8844,5.460285419775683e-06,1.6824,0.010199883400942949,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,1.661074425244156e-08,4.2688139297520455e-06,3.4150945850063763e-06,1.5159480111095327e-05,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-6.381548166943394e-07,2.047177143808921e-08,0.0,3.2,0.22500000982366694,0.0,0.38999998660550883,0.225,0.0,0.38999999999999996,0.16077597569028515,129.8844,2.0799338874686452e-05,1.6824,0.008522190011674856,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,4.410118493317035e-08,6.712801998208752e-06,8.913658556096819e-06,2.326092555416961e-05,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-1.7748522423413953e-06,5.525937164541804e-08,0.0,3.199999999999997,0.22500002672895547,0.0,0.3899999649218379,0.225,0.0,0.38999999999999996,0.1643720601150888,129.88439999999997,3.529087206529457e-05,1.6824,0.008907256096406278,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,8.38579103994137e-08,9.182468036887002e-06,1.6730478313215042e-05,3.105262471232789e-05,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-3.5218230649907445e-06,1.0685254545607446e-07,0.0,3.199999999999989,0.2250000521135461,0.0,0.38999993430123703,0.225,0.0,0.38999999999999996,0.1409526084971088,129.88439999999977,5.1194858715614795e-05,1.6824,0.006549351591871856,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,1.3389444217531566e-07,1.0845207440852717e-05,2.6259612512867202e-05,3.551814387096776e-05,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-5.847105912637244e-06,1.7347862775290057e-07,0.0,3.199999999999972,0.2250000853263057,0.0,0.3899998968150049,0.225,0.0,0.38999999999999996,0.12057573351433329,129.88439999999937,6.435990310368641e-05,1.6824,0.004792194456619853,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.035,1.907418553100171e-07,1.1936161570664785e-05,3.675195573747838e-05,3.762624152798974e-05,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-8.635924078557858e-06,2.512924460485033e-07,0.0,3.1999999999999456,0.22500012468465458,0.0,0.3899998556525293,0.225,0.0,0.38999999999999996,0.23896506835367615,129.8843999999986,7.501510087120185e-05,1.6824,0.018825279409314246,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,2.6381290502871186e-07,1.7302352564132292e-05,5.007511627820979e-05,5.5128803464872886e-05,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-1.2225885248600607e-05,3.5192558094642465e-07,0.0,3.1999999999998985,0.22500017583278656,0.0,0.3899998033274802,0.225,0.0,0.38999999999999996,0.20516560727230299,129.88439999999713,0.00010551817561266605,1.6824,0.01387493802546736,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045,3.594678683335004e-07,2.098078896425858e-05,6.738865190208761e-05,6.557257047484633e-05,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-1.6926475136166394e-05,4.841360347584137e-07,0.0,3.199999999999816,0.22500024325445997,0.0,0.3899997353409437,0.225,0.0,0.38999999999999996,0.2335701092942244,129.88439999999449,0.00013092606154483315,1.6824,0.017982405820622112,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,4.7638679232958407e-07,2.5815103437131892e-05,8.822006359420059e-05,7.963681758912148e-05,True,False,-0.0009425651813375672,-4.228434241896595e-18,3.449260344214377e-05,-0.0009425651813375672,-4.228434241896595e-18,3.449260344214377e-05,0.0,0.0,0.0,False,False,0.0,-2.2745844435688712e-05,6.472722862825155e-07,0.0,3.1999999999996844,0.22500032696910036,0.0,0.38999965353848215,0.225,0.0,0.38999999999999996,0.16889711201119223,129.88485668701375,0.0013230469601558704,0.6508,0.009400770769377509,solved,25,0.0,2.4069555297140157e-20,4.616783804928226e-12,9.612237858812102e-05,2.883671357643631e-05,2.883629874399805e-05,1.5467590738435878e-07
