time_s,shock_score,reference_shock,innovation_shock,innovation_norm,innovation_rate,residual_unrepresented_norm,trust,conflict_index,cancellation_index,offset_engagement,coordination_weight,slew_headroom,amplitude_headroom,constraint_activity,steady_target_state_norm,steady_command_x,steady_command_y,steady_command_z,backbone_x,backbone_y,backbone_z,mpc_x,mpc_y,mpc_z,final_x,final_y,final_z,position_error_m,orientation_error_deg,joint_angle_max_deg,joint_rate_max_rad_s
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,False,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,1.073327395408005e-15,0.0,1.073327395408005e-15,1.0733273954080052e-16,1.0733273954080052e-16,7.934250553652614e-19,0.9999999995239449,0.0,0.0,0.9999999999999994,5.551115123125783e-16,5.551115123125783e-17,0.0,False,3.54307141813882e-18,-1.5964637682932868e-19,2.592756786437543e-32,4.153052506200146e-16,5.71281646914482e-18,-1.6752145019563796e-31,7.442720252433093e-16,1.1085748705017005e-17,1.3529602715392132e-30,-5.090011053851602e-16,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,0.0,0.0,0.0,0.0
0.1,9.445281079590444e-16,0.0,3.1888638511588717e-16,1.3896388813213745e-16,3.1888638511588717e-17,2.0530932363981807e-18,0.9999999984349055,0.0,0.0,0.9999999999999996,4.440892098500626e-16,5.551115123125783e-17,0.0,False,1.3666615632224417e-17,-5.864955346938564e-19,3.3298749236118717e-21,8.687974167630467e-16,1.0536228781293489e-17,1.3212983735283737e-18,1.4885383386393031e-15,3.889584435570831e-17,-1.0425344943783008e-18,-7.744294107605278e-16,2.085567898947004e-18,8.556999953281219e-19,1.5083728124775977e-15,2.28463344895429e-20,0.0,6.779786832632299e-19,4.1665106309165456e-19
0.15000000000000002,8.311847350039591e-16,0.0,6.361311739580701e-16,7.59368758943696e-17,6.361311739580701e-17,3.1242554684872018e-18,0.9999999970298805,0.0,0.0,0.9999999999999996,4.440892098500626e-16,2.7755575615628914e-17,0.0,False,2.5499276147815404e-17,-1.0864335807603473e-18,9.261671278069693e-21,9.850747613976022e-16,1.0606468512406023e-17,3.879557745184652e-18,1.488521033311396e-15,6.348152923907895e-17,-2.5793903932523233e-18,-4.66682011010438e-16,-1.4775084152686283e-17,2.906629635747836e-18,1.8694572776896933e-15,6.892738356728572e-20,0.0,1.7767290331726492e-18,3.4975134547440966e-19
0.2,7.31442566803484e-16,0.0,1.8145453597585764e-16,9.386030063880364e-17,1.8145453597585764e-17,4.0601054972144105e-18,0.999999995484853,0.0,0.0,0.9999999999999997,3.3306690738754696e-16,2.7755575615628914e-17,0.0,False,3.4941572961019195e-17,-1.5555031852809037e-18,1.4698516148305966e-20,1.1477214207067988e-15,1.4132545164508574e-17,6.309166427389509e-18,1.488534451384651e-15,7.542824198651928e-17,-3.4017493745112966e-18,-3.953092459364233e-16,-3.502676395653461e-17,5.443570302160726e-18,2.0552094320778464e-15,1.1717734449159878e-19,0.0,8.706462830349644e-19,1.2311258770321554e-18
0.25,6.436694587870659e-16,0.0,9.442244304907769e-17,1.0312557916764235e-16,9.442244304907769e-18,4.812860992760454e-18,0.9999999939516804,0.0,0.0,0.9999999999999997,3.3306690738754696e-16,2.7755575615628914e-17,0.0,False,4.2429759592640604e-17,-2.333091317486961e-18,9.083611468109656e-20,1.3134643141084026e-15,1.6325245949223488e-17,1.6123086276511907e-17,1.4886254318670353e-15,8.39960307639361e-17,-9.3252303725633e-18,-3.966865314556518e-16,-5.687282352436551e-17,1.2817782242407603e-17,2.1827634965930906e-15,2.9305060749484664e-19,0.0,4.775093213067947e-18,2.248682865469041e-18
0.30000000000000004,5.66429123732618e-16,0.0,6.607083803202767e-17,1.0952664085840424e-16,6.607083803202767e-18,5.408127972497642e-18,0.9999999925212995,0.0,0.0,0.9999999999999997,3.3306690738754696e-16,2.7755575615628914e-17,0.0,False,4.836283714071099e-17,-3.3486100129567073e-18,3.224649402999545e-19,1.4704067844858271e-15,1.7721872427036e-17,3.3486349635838874e-17,1.4887937822499889e-15,8.9711263130382e-17,-1.679209246516506e-17,-4.163753645711718e-16,-7.915112161612739e-17,2.6667544183340027e-17,2.2921441532349985e-15,6.013165273124806e-19,0.0,1.267463811709286e-17,3.2662398539059264e-18
0.35000000000000003,4.984576288847039e-16,0.0,5.744766292134876e-17,1.1504858992363816e-16,5.744766292134876e-18,5.8777609000567015e-18,0.999999991238253,0.0,0.0,0.9999999999999998,2.220446049250313e-16,2.7755575615628914e-17,0.0,False,5.30612838597938e-17,-4.5573230850706275e-18,8.089818191405325e-19,1.616794163396067e-15,1.8322424593823152e-17,5.839897549272039e-17,1.4890395025335695e-15,9.335004153857682e-17,-2.4174863519538498e-17,-4.371219809288647e-16,-1.0131436917405862e-16,4.741719629116007e-17,2.3968788896987583e-15,1.041975439843108e-18,0.0,2.3489269063691568e-17,4.283796842342812e-18
0.4,4.386427134185394e-16,0.0,5.5268566739847976e-17,1.2036061951433925e-16,5.526856673984798e-18,6.2499259230453404e-18,0.9999999901168215,0.0,0.0,0.9999999999999998,2.220446049250313e-16,2.7755575615628914e-17,0.0,False,5.678405121537142e-17,-5.91337416173005e-18,1.6347758164942945e-18,1.7538452171739336e-15,1.8126902449584967e-17,9.086096918803731e-17,1.4893625927177772e-15,9.534143799563622e-17,-3.0669863778492923e-17,-4.541586691763636e-16,-1.2307286364754235e-16,7.495524567484391e-17,2.501407972193523e-15,1.6150274393580277e-18,0.0,3.721898605286407e-17,5.301353830779697e-18
0.45,3.860055878083147e-16,0.0,5.5167027327714316e-17,1.2568025603541687e-16,5.516702732771432e-18,6.547746344184446e-18,0.999999989153127,0.0,0.0,0.9999999999999998,2.220446049250313e-16,2.7755575615628914e-17,0.0,False,5.973994253666875e-17,-7.375506136903438e-18,2.861175061162543e-18,1.8833948139368608e-15,1.7135305994321436e-17,1.3087233300154178e-16,1.4897630528026116e-15,9.595497210623498e-17,-3.587323508657465e-17,-4.66765545074506e-16,-1.442502587730959e-16,1.0894116487181702e-16,2.6070734206503095e-15,2.320472566096894e-18,0.0,5.3863789084610345e-17,6.3189108192165826e-18
