time,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,wind_x,wind_y,wind_z,uav_roll_deg,uav_pitch_deg,uav_yaw_deg,raw_ax,raw_ay,raw_az,ax_cmd,ay_cmd,az_cmd,ax_limit,ay_limit,az_limit,ax_at_limit,ay_at_limit,az_at_limit,any_accel_at_limit,slew_ax_hit,slew_ay_hit,slew_az_hit,any_slew_at_limit,requested_thrust_N,applied_thrust_N,requested_Mx_Nm,requested_My_Nm,requested_Mz_Nm,applied_Mx_Nm,applied_My_Nm,applied_Mz_Nm,thrust_saturated,mx_saturated,my_saturated,mz_saturated,safe,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5
0.0,0.0,0.0,3.2,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,0.0,-0.0,0.0,-0.2499995486845341,-1.4486529077893054e-14,0.24999996206849012,-0.2499995486845341,-1.4486529077893054e-14,0.24999996206849012,2.0,2.0,2.0,False,False,False,False,True,False,True,True,133.1943994977868,133.1943994977868,1.510804926386894e-14,-0.38418791885464093,-3.5727084830797144e-16,1.510804926386894e-14,-0.38418791885464093,-3.5727084830797144e-16,False,False,False,False,True,0.3490658503988659,-0.2792526803190927,0.20943951023931956,-0.13962634015954636,0.06981317007977318,0.0,0.0,0.0,0.0,0.0
0.005,-4.438575270308205e-06,-6.914311227375863e-21,3.200036961001038,-0.3117144116959557,2.9110325170767596e-20,0.41119151207780213,0.002272328227595599,1.1643937933998805e-17,-0.036206366159929664,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,8.884009785136714e-19,0.0003238573413380028,1.3267299815133165e-18,0.0,0.0,0.0,-0.2499995486845341,-1.4486529077893054e-14,0.24999996206849012,0.0,0.0,0.0,False,False,False,False,False,False,False,False,133.1943807863252,133.1943807863252,1.507860485707592e-14,-0.40022456990769084,-4.408928938440345e-16,1.507860485707592e-14,-0.40022456990769084,-4.408928938440345e-16,False,False,False,False,True,0.3484932277000242,-0.2777956803040078,0.20791868846985437,-0.13870951032455314,0.06948197301443004,-0.22913257229483347,0.5820148532204475,-0.6058657504190349,0.3641926739752497,-0.1314383562273341
0.01,-1.8130832879168862e-05,-2.7653206606122525e-20,3.2001463849151475,-0.3116967746676317,1.1621003580164988e-19,0.41092288944657085,0.004841067662444187,2.3195335717060984e-17,-0.07094789044526052,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,3.54280728752503e-18,0.0013246695997162295,5.258461779026407e-18,0.0,0.0,0.0,-0.2499995486845341,-1.4486529077893054e-14,0.24999996206849012,0.0,0.0,0.0,False,False,False,False,False,False,False,False,133.1943229356366,133.1943229356366,1.5049200921337307e-14,-0.41756804930389047,-5.221933198367411e-16,1.5049200921337307e-14,-0.41756804930389047,-5.221933198367411e-16,False,False,False,False,True,0.3467700598153722,-0.27342933266864533,0.20339196690863934,-0.13600027125603675,0.06850525487773132,-0.46099524135550385,1.1659244002767122,-1.204986456961915,0.7188073100717388,-0.2589715922382811
0.015,-4.1827032194872586e-05,-6.221386606475776e-20,3.200325564818159,-0.3116653162958156,2.608347331140008e-19,0.4104855204512571,0.007822556572549821,3.465348189544527e-17,-0.10358723285864577,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,7.94130877977546e-18,0.003065209621566812,1.1699350059481979e-17,0.0,0.0,0.0,-0.2499995486845341,-1.4486529077893054e-14,0.24999996206849012,0.0,0.0,0.0,False,False,False,False,False,False,False,False,133.19422222912235,133.19422222912235,1.5019855334796777e-14,-0.4370636324780498,-6.011867680729269e-16,1.5019855334796777e-14,-0.4370636324780498,-6.011867680729269e-16,False,False,False,False,True,0.3438709690007154,-0.2661115140879265,0.19585434872170873,-0.1315195673149982,0.06689134624483666,-0.7003150167553222,1.7648082806243095,-1.8127634193368336,1.0745122642335974,-0.38704127804721716
0.02,-7.656935870153765e-05,-1.1060379849051844e-19,3.200570937925357,-0.311617613384581,4.625159186433779e-19,0.40989185517765536,0.011368298117952591,4.601742310058324e-17,-0.13330930938271315,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,1.4061397463886843e-17,0.005646137387444408,2.0555681031471206e-17,0.0,0.0,0.0,-0.2499995486845341,-1.4486529077893054e-14,0.24999996206849012,0.0,0.0,0.0,False,False,False,False,False,False,False,False,133.1940726720547,133.1940726720547,1.499058680906022e-14,-0.45977651015003984,-6.778769195096699e-16,1.499058680906022e-14,-0.45977651015003984,-6.778769195096699e-16,False,False,False,False,True,0.3397459677949022,-0.2557332793183528,0.1852239442501732,-0.12523585957695668,0.06462655932224026,-0.9522989526958325,2.392538405677614,-2.4447818343106715,1.4417818576528367,-0.5200821295574029
0.025,-0.00012379129575180517,-1.7284045275330433e-19,3.200877736045797,-0.31155034520821123,7.207793153769231e-19,0.4091591364636953,0.01569125626570944,5.728575484521433e-17,-0.1589838423045774,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,2.188004685005507e-17,0.009217993909992077,3.1735855222898596e-17,0.0,0.0,0.0,-0.2499995486845341,-1.4486529077893054e-14,0.24999996206849012,0.0,0.0,0.0,False,False,False,False,False,False,False,False,133.19386524778452,133.19386524778452,1.4961415496545825e-14,-0.4871699291412219,-7.522532254070307e-16,1.4961415496545825e-14,-0.4871699291412219,-7.522532254070307e-16,False,False,False,False,True,0.3343166716062521,-0.24211159707881622,0.17133782622043178,-0.11706404851608278,0.06167423099161038,-1.2231984749537324,3.0650930226391706,-3.1180537165590034,1.8316730429186519,-0.6629096708536886
0.03,-0.00018548606637253294,-2.489506489076851e-19,3.2012393970469435,-0.311458887597883,1.035141804304162e-18,0.4083114839648631,0.021109131413572513,6.845626299173289e-17,-0.17894303423097824,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,3.137381702007059e-17,0.014002246490394627,4.515038921509452e-17,0.0,0.0,0.0,-0.2499995486845341,-1.4486529077893054e-14,0.24999996206849012,0.0,0.0,0.0,False,False,False,False,False,False,False,False,133.19358660643616,133.19358660643616,1.493236419541305e-14,-0.5213883701558935,-8.242851411305288e-16,1.493236419541305e-14,-0.5213883701558935,-8.242851411305288e-16,False,False,False,False,True,0.3274695337017745,-0.22497571349308806,0.15394263833729435,-0.10686135183904025,0.057972000178745625,-1.5209341468677866,3.8017527287099737,-3.8517916601803077,2.2562048457273596,-0.8210239772202811
0.035,-0.00026448944371688937,-3.389696034137701e-19,3.2016465525474826,-0.31133661867026596,1.4051059077856728e-18,0.4073834463486101,0.028119572411389626,7.952526670251439e-17,-0.19060170093359563,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,4.251900134671808e-17,0.02032724186301657,6.07119508102723e-17,0.0,0.0,0.0,-0.2499995486845341,-1.4486529077893054e-14,0.24999996206849012,0.0,0.0,0.0,False,False,False,False,False,False,False,False,133.19321680468857,133.19321680468857,1.4903460637238542e-14,-0.5657315580133451,-8.939122935535448e-16,1.4903460637238542e-14,-0.5657315580133451,-8.939122935535448e-16,False,False,False,False,True,0.3190460548632537,-0.20394911840745666,0.13268465620008113,-0.0944238334907356,0.05342821965451847,-1.8556173217550496,4.6254098350656605,-4.66647739122654,2.7274527301729794,-1.0005691550221674
0.04,-0.0003649517117765236,-4.429390406725592e-19,3.2020852488667315,-0.31117372386603137,1.830149711489615e-18,0.4064260508838281,0.03752871570444949,9.048639451673522e-17,-0.18982432048436604,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,5.5291844377774974e-17,0.028688775551287224,7.83354557933007e-17,0.0,0.0,0.0,-0.2499995486845341,-1.4486529077893054e-14,0.24999996206849012,0.0,0.0,0.0,False,False,False,False,False,False,False,False,133.19272544200254,133.19272544200254,1.4874741580545077e-14,-0.625413336575291,-9.61028040757732e-16,1.4874741580545077e-14,-0.625413336575291,-9.61028040757732e-16,False,False,False,False,True,0.30883237654205525,-0.1785383332302809,0.10711733365678608,-0.07949660745970111,0.04792138240031478,-2.2389552543652935,5.558477868387973,-5.576407924574818,3.252035776921324,-1.2068427297058772
0.045,-0.0004930752519867933,-5.609032626521947e-19,3.202533872466258,-0.3109552164136258,2.3097086212143362e-18,0.40551661165926267,0.050626754481903014,1.0132853388169274e-16,-0.1701162970456398,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,6.966888603049467e-17,0.0398448749590322,9.793827254703797e-17,0.0,0.0,0.0,-0.2499995486845341,-1.4486529077893054e-14,0.24999996206849012,0.0,0.0,0.0,False,False,False,False,False,False,False,False,133.1920654404367,133.1920654404367,1.484625840288672e-14,-0.708401672854043,-1.0254542435244981e-15,1.484625840288672e-14,-0.708401672854043,-1.0254542435244981e-15,False,False,False,False,True,0.2965623068980844,-0.14817697867500065,0.07679257369852802,-0.061843373743474254,0.04131781448152524,-2.678184062838624,6.601063190278365,-6.559049130232904,3.8098510890853734,-1.4373600098908164
