sample_id,scenario,wind_kind,wind_speed_m_s,seed,sample_count,safe,safe_sample_count,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_ax_m_s2,max_abs_ay_m_s2,max_abs_az_m_s2,max_ax_step_m_s2,max_ay_step_m_s2,max_az_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,solve_time_mean_ms,solve_time_p95_ms,safety_failure_reasons,controller,candidate_id
calm_axis_00,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.66,0.06840498788702504,0.9945359801200487,0.15359281304244574,0.03712833824586235,0.20751927949901788,1.0074491897653401,2.0619548903018243e-15,0.021323382136725244,0.25,2.069984969466685e-15,0.008389172976629071,130.13934398478528,0.9691904513399513,0.14111737886459408,0.07976563931695126,0.1167,[],paper_lv2026,paper_a_001
calm_axis_01,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,7.045,0.06274258408570141,0.9330906365900423,0.12499133463346633,0.03224814131603769,0.2045128518046878,0.9925508102346597,2.091085155464113e-15,0.012304218405205375,0.25,2.083055076299252e-15,0.004696000171514366,130.0474880371231,0.9849807786360721,0.13080677979446514,0.07030816326530612,0.1034,[],paper_lv2026,paper_a_001
calm_axis_02,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.345,0.058280448998690525,0.06068343328784785,0.15881510551649405,0.011434779403664186,0.6036022067645801,0.125,1.2270333573200816,0.0075576302133512656,0.125,0.25,0.0009726262533184273,129.91970076833292,1.261693017586523,0.018174378722821898,0.07397975843398584,0.102,[],paper_lv2026,paper_a_001
calm_axis_03,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.345,0.058280448998690525,0.060683433287845354,0.15881510551649405,0.011434779403664153,0.6036022067645799,0.125,1.2270333573200816,0.007557630213349284,0.125,0.25,0.0009726262533143672,129.91970076833303,1.2616930175865229,0.01817437872282187,0.08162103290295711,0.1027,[],paper_lv2026,paper_a_001
calm_axis_04,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,0.815,0.030977240540437743,0.06135538252198937,0.0314458913217468,0.011347521346691637,0.17501687963590495,0.125,1.1160214332529627e-14,1.0003098750794748,0.125,1.1152184253364766e-14,0.25000000000000006,143.12850770724083,0.19703449797391995,0.005451391220998511,0.10279745939192005,0.1381,[],paper_lv2026,paper_a_001
calm_axis_05,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,0.825,0.031039708480170212,0.06006614534405089,0.030797005339775717,0.011341835331717516,0.17464235969051983,0.125,1.1131084067367377e-14,0.9996901249205252,0.125,1.1139114146532237e-14,0.25,133.3934460471242,0.19703449797391995,0.005451391220998511,0.0822825905872553,0.1086,[],paper_lv2026,paper_a_001
calm_face_diagonal_00,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.115,0.08422393500427411,0.9426296635128479,0.20806809623213643,0.035350858624700304,0.7330632926625823,1.0074491897653401,1.1312052049083476,0.020776474686279703,0.25,0.25,0.008464777716413904,130.10352838473923,1.160573618578947,0.13837099724634747,0.08560528946272386,0.1098,[],paper_lv2026,paper_a_001
calm_face_diagonal_01,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,6.97,0.07997770678415747,0.8826434339825738,0.18903048956343252,0.030486490815139357,0.7295366709679955,0.9925508102346597,1.1295597522431766,0.01787701674299371,0.25,0.25,0.0046162922142696985,130.04303064442158,1.1587305243614328,0.12783911270894346,0.08609687630154103,0.1298,[],paper_lv2026,paper_a_001
calm_face_diagonal_02,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.115,0.08422393500427419,0.9426296635128499,0.20806809623213685,0.03535085862470026,0.7330632926625845,1.0074491897653401,1.1312052049083519,0.020776474686276913,0.25,0.25,0.008464777716413758,130.10352838473918,1.1605736185789512,0.13837099724634783,0.07759950020824657,0.1077,[],paper_lv2026,paper_a_001
calm_face_diagonal_03,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,6.97,0.07997770678415739,0.8826434339825694,0.18903048956343257,0.03048649081513919,0.7295366709679991,0.9925508102346597,1.129559752243181,0.017877016742994502,0.25,0.25,0.004616292214269297,130.0430306444216,1.1587305243614374,0.12783911270894358,0.07230008329862557,0.1036,[],paper_lv2026,paper_a_001
calm_face_diagonal_04,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.13,0.07011793126652266,0.929773754918736,0.14907095268658235,0.03471284147817751,0.34909282545201725,1.0074491897653401,8.565022119994193e-15,0.9703498281654176,0.25,8.556992040829332e-15,0.25000000000000006,142.84575821624057,0.8922936761965136,0.12643486841724055,0.07589854227405247,0.1002,[],paper_lv2026,paper_a_001
calm_face_diagonal_05,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,6.98,0.06590838325055895,0.9171657484486959,0.11989475755207227,0.03177442215940044,0.38666268522913616,0.9925508102346597,8.535891854831944e-15,0.9718997777103829,0.25,8.543921933996805e-15,0.25,133.36372223447717,1.0569350173446386,0.14083110970357582,0.07146259891711786,0.1039,[],paper_lv2026,paper_a_001
calm_face_diagonal_06,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,8.55,0.07035419947485412,0.9681794195116599,0.1451886248425285,0.036389345230141486,0.39039433814231383,1.0074491897653401,1.2451415560032454e-14,0.9725515720764435,0.25,1.2459445639197315e-14,0.25,133.54376615184788,1.0847077128173213,0.1520077045676326,0.0740143273635985,0.1038,[],paper_lv2026,paper_a_001
calm_face_diagonal_07,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,6.965,0.06448242165399648,0.8624539734915578,0.11852590915065758,0.029619076291942045,0.34575490745139253,0.9925508102346597,1.2480545825194706e-14,0.9710864076571658,0.25,1.2472515746029845e-14,0.25000000000000006,142.85281352969395,0.9126927675099462,0.11645296392676754,0.07069691795085381,0.1007,[],paper_lv2026,paper_a_001
calm_face_diagonal_08,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.3000000000000003,0.0614953929123963,0.06131164457359587,0.15225046061496958,0.01142760344898888,0.696704594863375,0.125,1.1615070830600311,0.9715009478432052,0.125,0.25,0.25000000000000006,142.75358904523196,1.1123830519485847,0.016909282120022146,0.0722381091211995,0.0961,[],paper_lv2026,paper_a_001
calm_face_diagonal_09,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.275,0.06109098125731604,0.06012125356980179,0.1511431564660911,0.011420650299782254,0.7049293158666192,0.125,1.0872899047820141,0.9713952113036923,0.125,0.25,0.25,133.41131178587304,1.2025607733404955,0.017417304533618266,0.08564723032069971,0.1494,[],paper_lv2026,paper_a_001
calm_face_diagonal_10,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.275,0.06109098125731603,0.06012125356979926,0.15114315646609097,0.011420650299782282,0.7049293158666117,0.125,1.087289904781994,0.9713952113037038,0.125,0.25,0.25,133.41131178587315,1.2025607733404744,0.017417304533618148,0.09655351936693045,0.162,[],paper_lv2026,paper_a_001
calm_face_diagonal_11,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.3000000000000003,0.06149539291239633,0.06131164457359587,0.15225046061496955,0.011427603448988851,0.6967045948633677,0.125,1.1615070830600112,0.9715009478432166,0.125,0.25,0.25000000000000006,142.7535890452321,1.1123830519485638,0.01690928212002199,0.08429150354019159,0.1304,[],paper_lv2026,paper_a_001
constant_1.5_axis_00,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,6.915000000000001,0.06302912423533291,0.904088527033155,0.13859016101165172,0.03911114092727725,0.2364795246356085,0.951634870855465,2.1789678246977365e-15,0.018786350501360485,0.25,2.069227071949199e-15,0.0070709309009442285,130.11640273697174,0.9891211134971309,0.12743014740631817,0.15374448146605582,0.1861,[],paper_lv2026,paper_a_001
constant_1.5_axis_01,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,5.395,0.06736529817327247,0.7779106181920721,0.16798940361212314,0.031416431997529116,0.2276618723949406,1.048365129144535,1.9740722210682006e-15,0.012986950487150574,0.2500000000000001,2.0838129738167383e-15,0.005305467834221596,130.0563737611166,0.9639035256355153,0.135276189897908,0.10648475635152019,0.1755,[],paper_lv2026,paper_a_001
constant_1.5_axis_02,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,2.34,0.0623431815508035,0.18901231652742292,0.16445094305071198,0.0252218606895629,0.6359402895608419,0.125,1.227051847198574,0.007737899924332926,0.125,0.25,0.0013225666876967427,129.92521744121333,1.2617474478728967,0.023432823254294632,0.12551695127030407,0.2421,[],paper_lv2026,paper_a_001
constant_1.5_axis_03,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,2.34,0.06234318155080351,0.18901231652742212,0.16445094305071206,0.025221860689562864,0.635940289560842,0.125,1.227051847198574,0.007737899924336709,0.125,0.25,0.0013225666876967427,129.92521744121333,1.2617474478728963,0.023432823254294632,0.1360506039150354,0.1868,[],paper_lv2026,paper_a_001
constant_1.5_axis_04,WIND_3D_SETPOINT,constant,1.5,-1,2401,True,2401,True,0.8200000000000003,0.03814945094912273,0.18957316616027256,0.15116374088286688,0.024882760399834225,0.20713936825553553,0.125,1.1043201398133717e-14,0.9998511813204908,0.125,1.1152942150882255e-14,0.25,143.12383748252648,0.19703449797391995,0.023432823254294632,0.12970533111203666,0.1709,[],paper_lv2026,paper_a_001
