time,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,wind_x,wind_y,wind_z,uav_roll_deg,uav_pitch_deg,uav_yaw_deg,raw_ax,raw_ay,raw_az,ax_cmd,ay_cmd,az_cmd,ax_limit,ay_limit,az_limit,ax_at_limit,ay_at_limit,az_at_limit,any_accel_at_limit,slew_ax_hit,slew_ay_hit,slew_az_hit,any_slew_at_limit,requested_thrust_N,applied_thrust_N,requested_Mx_Nm,requested_My_Nm,requested_Mz_Nm,applied_Mx_Nm,applied_My_Nm,applied_Mz_Nm,thrust_saturated,mx_saturated,my_saturated,mz_saturated,safe,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5
0.0,0.0,0.0,3.2,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,0.0,-0.0,0.0,-0.25,1.3741027926295182e-14,0.22595238571899776,-0.25,1.3741027926295182e-14,0.22595238571899776,2.0,2.0,2.0,False,False,False,False,True,False,False,True,132.87600958691954,132.87600958691954,-1.4364891075947137e-14,-0.38510861260810997,3.4051117964315213e-16,-1.4364891075947137e-14,-0.38510861260810997,3.4051117964315213e-16,False,False,False,False,True,0.3490658503988659,-0.2792526803190927,0.20943951023931956,-0.13962634015954636,0.06981317007977318,0.0,0.0,0.0,0.0,0.0
0.005,-4.428131631477569e-06,6.574236465169779e-21,3.2000365790078655,-0.3117144248908646,-2.7676776636984444e-20,0.411191437162929,0.002266931782849091,-1.1070528470780737e-17,-0.03623691771181136,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,-8.4461911052510345e-19,0.0003217346776565906,-1.2610275279229878e-18,0.0,0.0,0.0,-0.25,1.3741027926295182e-14,0.22595238571899776,0.0,0.0,0.0,False,False,False,False,False,False,False,False,132.87599099808415,132.87599099808415,-1.4336897688229576e-14,-0.40104089342735544,4.1999258655126807e-16,-1.4336897688229576e-14,-0.40104089342735544,4.1999258655126807e-16,False,False,False,False,True,0.34849463045907036,-0.27779917685438815,0.20792234092312126,-0.1387117303396691,0.06948278359993589,-0.22857028032218601,0.5806153507496642,-0.6044074397299876,0.3633086042913524,-0.13111577710963682
0.01,-1.8087868457957585e-05,2.629309288793701e-20,3.2001448612283405,-0.31169683023529615,-1.104872933596679e-19,0.41092257576689306,0.004829306600301342,-2.2053099259621215e-17,-0.07101392422203268,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,-3.368215267000074e-18,0.0013161170188456678,-4.998051304423766e-18,0.0,0.0,0.0,-0.25,1.3741027926295182e-14,0.22595238571899776,0.0,0.0,0.0,False,False,False,False,False,False,False,False,132.8759335192594,132.8759335192594,-1.4308942567835404e-14,-0.4182764884321344,4.972683354335348e-16,-1.4308942567835404e-14,-0.4182764884321344,4.972683354335348e-16,False,False,False,False,True,0.3467757121691363,-0.2734433904534899,0.20340658794737249,-0.13600911699574156,0.06850848219028614,-0.4598526142304321,1.1630877437144846,-1.2020473639237013,0.7170363997585962,-0.2583256145478734
0.015,-4.172672637900957e-05,5.915384836970181e-20,3.200322148887494,-0.31166544972442173,-2.479901605535068e-19,0.4104847714834798,0.00780284444626278,-3.2947041376752476e-17,-0.10369704281574196,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,-7.549966001984634e-18,0.003045733470667977,-1.1119971679071467e-17,0.0,0.0,0.0,-0.25,1.3741027926295182e-14,0.22595238571899776,0.0,0.0,0.0,False,False,False,False,False,False,False,False,132.87583344594478,132.87583344594478,-1.428104265892301e-14,-0.43765605738164554,5.723524000920824e-16,-1.428104265892301e-14,-0.43765605738164554,5.723524000920824e-16,False,False,False,False,True,0.34388386831293544,-0.266143551165959,0.19588755749471795,-0.13153958712832328,0.06689865331329595,-0.6985493531950938,1.7604297501491781,-1.8082442398903704,1.0718001211765167,-0.3860498699013021
0.02,-7.638251266404137e-05,1.051635775893836e-19,3.2005648932095143,-0.31161787016635567,-4.397401205032526e-19,0.4098904218168222,0.01133815797137272,-4.3751455008758044e-17,-0.13347595337720292,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,-1.3368482657619522e-17,0.0056108383602553845,-1.9537715029723013e-17,0.0,0.0,0.0,-0.25,1.3741027926295182e-14,0.22595238571899776,0.0,0.0,0.0,False,False,False,False,False,False,False,False,132.87568480942528,132.87568480942528,-1.425321569099587e-14,-0.460238378486747,6.452483908958995e-16,-1.425321569099587e-14,-0.460238378486747,6.452483908958995e-16,False,False,False,False,True,0.3397693967652185,-0.25579142661172377,0.1852840645642678,-0.12527200981766265,0.0646397761434331,-0.9498375414069951,2.386434766597774,-2.4384976907850615,1.4380184793334907,-0.5186999318601277
0.025,-0.00012348188560492717,1.6433878231748876e-19,3.2008683476103754,-0.31155078644998047,-6.852864600333169e-19,0.40915668721582876,0.015646803943739407,-5.446501395221563e-17,-0.15922781293151533,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,-2.0801885513679508e-17,0.009161245625967242,-3.016421729531507e-17,0.0,0.0,0.0,-0.25,1.3741027926295182e-14,0.22595238571899776,0.0,0.0,0.0,False,False,False,False,False,False,False,False,132.8754786395556,132.8754786395556,-1.422548075047592e-14,-0.4874768239239753,7.159464736807067e-16,-1.422548075047592e-14,-0.4874768239239753,7.159464736807067e-16,False,False,False,False,True,0.33435437182411265,-0.24220514269494273,0.1714343572121978,-0.11712199398704237,0.06169548270087542,-1.219928261965007,3.0569798898566543,-3.1097155481617063,1.8266830716563087,-0.6610629067083199
0.03,-0.00018500729601266783,2.367048532705459e-19,3.201225984303935,-0.31145959922427924,-9.841701163749923e-19,0.4083075566111507,0.021044107133655565,-6.508562742785035e-17,-0.1792972386224208,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,-2.982790320949905e-17,0.013917181273748556,-4.291442539815514e-17,0.0,0.0,0.0,-0.25,1.3741027926295182e-14,0.22595238571899776,0.0,0.0,0.0,False,False,False,False,False,False,False,False,132.8752016659328,132.8752016659328,-1.4197859413979381e-14,-0.521499563848536,7.844179381482763e-16,-1.4197859413979381e-14,-0.521499563848536,7.844179381482763e-16,False,False,False,False,True,0.3275259456583828,-0.22511568822024328,0.1540868352574695,-0.10694782222414112,0.058003866906604695,-1.516685372470424,3.791211266930608,-3.8409823807910244,2.2497362264726655,-0.8186031704519868
0.035,-0.0002637770384127923,3.22295149418293e-19,3.201628491864874,-0.311337727402943,-1.3359184705932624e-18,0.4073773649735254,0.028023506707859802,-7.560982105683631e-17,-0.19112078011518374,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,-4.042401146087407e-17,0.0202048782760523,-5.77053301766744e-17,0.0,0.0,0.0,-0.25,1.3741027926295182e-14,0.22595238571899776,0.0,0.0,0.0,False,False,False,False,False,False,False,False,132.87483408110592,132.87483408110592,-1.4170377898248747e-14,-0.5655781257001161,8.506059432454275e-16,-1.4170377898248747e-14,-0.5655781257001161,8.506059432454275e-16,False,False,False,False,True,0.31912665248124567,-0.2041490524250096,0.13289020045126687,-0.09454700760360953,0.053473929285181056,-1.8501431292059727,4.611856535143377,-4.652648070391275,2.7191827912207343,-0.997425027817963
0.04,-0.00036391224341698517,4.2114921760381516e-19,3.2020620153571895,-0.31117542593276104,-1.7400358459286237e-18,0.40641677892015676,0.03738354780424302,-8.60315848065365e-17,-0.19060145618769653,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,-5.256763884147126e-17,0.02851649808609728,-7.445605730459935e-17,0.0,0.0,0.0,-0.25,1.3741027926295182e-14,0.22595238571899776,0.0,0.0,0.0,False,False,False,False,False,False,False,False,132.87434572004312,132.87434572004312,-1.4143070905804989e-14,-0.6248773919309571,9.14410054190657e-16,-1.4143070905804989e-14,-0.6248773919309571,9.14410054190657e-16,False,False,False,False,True,0.30894407835720966,-0.1788150212560874,0.1074007745729495,-0.07966628380981779,0.047984970743587575,-2.231928815502361,5.541216629146855,-5.559007222990111,3.241674360519403,-1.2028113990162395
0.045,-0.0004915668259687218,5.333090930323111e-19,3.202505116446377,-0.3109578277436175,-2.1959863189538054e-18,0.40550250075260574,0.05040184750143961,-9.634044105450697e-17,-0.17130657855102072,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,-6.623649146995146e-17,0.0396039240129932,-9.308805974706207e-17,0.0,0.0,0.0,-0.25,1.3741027926295182e-14,0.22595238571899776,0.0,0.0,0.0,False,False,False,False,False,False,False,False,132.8736899096565,132.8736899096565,-1.4115986896052935e-14,-0.7072905611739263,9.756625036482852e-16,-1.4115986896052935e-14,-0.7072905611739263,9.756625036482852e-16,False,False,False,False,True,0.2967136648093903,-0.14855016841217733,0.07717200488732151,-0.0620698504582844,0.04140389816218427,-2.6693249110601833,6.579766568611983,-6.5382253765777225,3.797636942438542,-1.4324232638934193
0.05,-0.0006557172865879046,6.58811863430994e-19,3.20292441052552,-0.31066242097728225,-2.7031666850735116e-18,0.40474904773808723,0.06878770424334135,-1.0652002758041278e-16,-0.12497016613703715,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,-8.140908220722956e-17,0.05457733339097372,-1.1352542600103863e-16,-0.5,4.3579124404582684e-15,-0.024047614281002244,-0.5,4.3579124404582684e-15,-0.024047614281002244,2.0,2.0,2.0,False,False,False,False,True,False,True,True,129.55964489783696,129.55964489783696,-4.3938665558589666e-15,-1.2261205839015386,9.289264777928724e-16,-4.3938665558589666e-15,-1.2261205839015386,9.289264777928724e-16,False,False,False,False,True,0.28219123919298644,-0.11298579041783208,0.042136787482817815,-0.04180587149980657,0.033671048953168914,-3.139619316018102,7.628007568878973,-7.435185846876073,4.2765873541898625,-1.6531225503233673
0.055,-0.0008670113710947858,7.932498929519449e-19,3.2032702700367346,-0.31026024668153557,-3.2420922659236194e-18,0.4042996194123689,0.09287646600038535,-1.0903993044555552e-16,-0.051154679250372426,-0.31171999052444577,0.0,0.4112825192849242,0.0,0.0,0.0,-9.748992134560122e-17,0.0744340011060047,-1.3478739641442641e-16,0.0,0.0,0.0,-0.5,4.3579124404582684e-15,-0.024047614281002244,0.0,0.0,0.0,False,False,False,False,False,False,False,False,129.55730009074628,129.55730009074628,-4.386155859001108e-15,-1.355352859149829,9.304096337612812e-16,-4.386155859001108e-15,-1.355352859149829,9.304096337612812e-16,False,False,False,False,True,0.2654741148183084,-0.07288694766531573,0.0037529528976231272,-0.01996326672717274,0.025073193503238174,-3.5166036652753028,8.303980428264651,-7.770610225265378,4.359359112527186,-1.752968208287452
