time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,3.0,129.8844,0.0,True,False,False
0.005,2.4271572429995657e-06,0.0005321393818254259,0.000969981822697694,0.0,0.0,0.0,0.2250012347214716,0.0,0.38999791036960924,0.225,0.0,0.38999999999999996,3.0,129.88439999999565,0.0007268115950883969,True,False,False
0.01,9.694919629456681e-06,0.002124455104836191,0.0019372304875144469,0.0,0.0,0.0,0.2250049406993463,0.0,0.38999165847995915,0.225,0.0,0.38999999999999996,3.0,129.8843999999302,0.0014657221813094035,True,False,False
0.015,2.180181229049436e-05,0.0047762526720086665,0.0029060973016416763,0.0,0.0,0.0,0.22501112403906431,0.0,0.38998124967269493,0.225,0.0,0.38999999999999996,3.0,129.88439999964407,0.0022248509226342546,True,False,False
0.02,3.8763400791311714e-05,0.008491457275687307,0.003879278837942504,0.0,0.0,0.0,0.22501979633267513,0.0,0.3899666727370832,0.225,0.0,0.38999999999999996,3.0,129.88439999886307,0.0030150237991624154,True,False,False
0.025,6.0601099118666675e-05,0.01327528722301586,0.004856389895347574,0.0,0.0,0.0,0.2250309742971136,0.0,0.38994791270660983,0.225,0.0,0.38999999999999996,3.0,129.88439999718483,0.0038419134769407176,True,False,False
0.03,8.733195878391341e-05,0.01913134680913218,0.0058363458541270405,0.0,0.0,0.0,0.22504467862202904,0.0,0.3899249620645365,0.225,0.0,0.38999999999999996,3.0,129.8843999940615,0.004709698217763725,True,False,False
0.035,0.00011896690052982649,0.0260610857552686,0.006817802293327154,0.0,0.0,0.0,0.225060933762506,0.0,0.38989782270306694,0.225,0.0,0.38999999999999996,3.0,129.8843999887806,0.0056215997264583645,True,False,False
0.04,0.00015550963316647746,0.034063461320667815,0.007799249641023824,0.0,0.0,0.0,0.22507976778960792,0.0,0.38986650713221804,0.225,0.0,0.38999999999999996,3.0,129.88439998044308,0.006580029758925341,True,False,False
0.045,0.00019695603555911235,0.043134732463562635,0.008779105982715519,0.0,0.0,0.0,0.22510121228217955,0.0,0.3898310391942515,0.225,0.0,0.38999999999999996,3.0,129.8843999679403,0.00758673454489155,True,False,False
0.05,0.0002432939795473378,0.053268374764711864,0.009755802789471678,-0.0430696300680781,0.0,3.682537352271041e-05,0.2251253022567969,0.0,0.389791454309741,0.225,0.0,0.38999999999999996,3.0,129.88490335162888,0.05925130012385946,True,False,False
0.055,0.00029450346699567677,0.06445512544849526,0.010727823004474507,-0.0430696300680781,0.0,3.682537352271041e-05,0.22515207614227645,0.0,0.38974779940717197,0.225,0.0,0.38999999999999996,3.0,129.88490739080353,0.05569660161030171,True,False,False
0.06,0.000350557162044731,0.07668299712417433,0.01169384068633389,-0.0430696300680781,0.0,3.682537352271041e-05,0.22518157573401643,0.0,0.38970013240142143,0.225,0.0,0.38999999999999996,3.0,129.88491281023187,0.052155192219247,True,False,False
0.065,0.000411421337542673,0.0899374473973764,0.012652717714819023,-0.0430696300680781,0.0,3.682537352271041e-05,0.22521384620305226,0.0,0.3896485212404347,0.225,0.0,0.38999999999999996,3.0,129.884919580296,0.04862617446332148,True,False,False
0.07,0.00047705679524040647,0.10420162795723614,0.013603519115910657,-0.0430696300680781,0.0,3.682537352271041e-05,0.2252489361355074,0.0,0.38959304301661757,0.225,0.0,0.38999999999999996,3.0,129.88492766986238,0.04510875784230372,True,False,False
0.075,0.0005474198245008647,0.11945657279793251,0.014545509357182905,-0.0430696300680781,0.0,3.682537352271041e-05,0.22528689754473732,0.0,0.38953378303003827,0.225,0.0,0.38999999999999996,3.0,129.8849370463415,0.04160222961431659,True,False,False
0.08,0.0006224630987332913,0.1356813658564303,0.015478132443498563,-0.0430696300680781,0.0,3.682537352271041e-05,0.22532778587263158,0.0,0.3894708339287257,0.225,0.0,0.38999999999999996,3.0,129.88494767575042,0.038105945245152706,True,False,False
0.085,0.0007021364368774643,0.15285327084547237,0.016400979647030994,-0.0430696300680781,0.0,3.682537352271041e-05,0.2253716599733268,0.0,0.3894042950057136,0.225,0.0,0.38999999999999996,3.0,129.88495952277208,0.03461933524625888,True,False,False
0.09,0.0007863873776110599,0.17094781096046363,0.017313749307635976,-0.0430696300680781,0.0,3.682537352271041e-05,0.22541858207416973,0.0,0.3893342717109437,0.225,0.0,0.38999999999999996,3.0,129.8849725508052,0.0311419246140177,True,False,False
0.095,0.000875161536042049,0.18993879099158495,0.018216203273785977,-0.0430696300680781,0.0,3.682537352271041e-05,0.22546861771046503,0.0,0.389260875412663,0.225,0.0,0.38999999999999996,3.0,129.8849867220016,0.027673360896399372,True,False,False
0.1,0.0009684027344345876,0.209798259469789,0.019108124285732653,-0.08770132202904492,0.0,0.00021085302195943744,0.22552183563225073,0.0,0.3891842234196951,0.225,0.0,0.38999999999999996,3.0,129.8874275441566,0.09456353055440231,True,False,False
0.105,0.0010660516982527856,0.23049644107126716,0.01998880242140707,-0.08770132202904492,0.0,0.00021085302195943744,0.22557830770031673,0.0,0.3891044407182648,0.225,0.0,0.38999999999999996,3.0,129.887462735246,0.08857549062435884,True,False,False
