time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.005,0.0,0.0,1.0733273954080062e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.01,0.0,0.0,2.1466547908160123e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.015,0.0,0.0,3.219982186224018e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.02,0.0,0.0,4.293309581632023e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.025,0.0,0.0,5.3666369770400276e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.03,0.0,0.0,6.439964372448032e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.035,0.0,0.0,7.513291767856037e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.04,0.0,0.0,8.586619163264042e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.045,0.0,0.0,9.659946558672047e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.05,0.0,0.0,1.0733273954080052e-16,3.0730047036298244e-32,0.0,2.6833184885200127e-16,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,4.844296727224576e-32,True,True,False
0.055,1.7539065590811126e-36,0.0,1.1806601349488058e-16,3.0730047036298244e-32,0.0,2.6833184885200127e-16,0.225,1.7539065590811126e-36,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,4.6705802573454887e-32,True,True,False
0.06,6.95007197364287e-36,0.0,1.2879928744896062e-16,3.0730047036298244e-32,0.0,2.6833184885200127e-16,0.225,6.95007197364287e-36,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,4.5032942573542844e-32,True,True,False
0.065,1.5460069342108075e-35,0.0,1.3953256140304067e-16,3.0730047036298244e-32,0.0,2.6833184885200127e-16,0.225,1.5460069342108075e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,4.3422551581340927e-32,True,True,False
0.07,2.7158888507789863e-35,0.0,1.5026583535712072e-16,3.0730047036298244e-32,0.0,2.6833184885200127e-16,0.225,2.7158888507789863e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,4.1872807567833383e-32,True,True,False
0.075,4.1924914360241345e-35,0.0,1.6099910931120077e-16,3.0730047036298244e-32,0.0,2.6833184885200127e-16,0.225,4.1924914360241345e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,4.0381904869102007e-32,True,True,False
0.08,5.963990215813207e-35,0.0,1.7173238326528081e-16,3.0730047036298244e-32,0.0,2.6833184885200127e-16,0.225,5.963990215813207e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.894805757296297e-32,True,True,False
0.085,8.018893915479888e-35,0.0,1.8246565721936086e-16,3.0730047036298244e-32,0.0,2.6833184885200127e-16,0.225,8.018893915479888e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.756950533043373e-32,True,True,False
0.09,1.0346040243780796e-34,0.0,1.931989311734409e-16,3.0730047036298244e-32,0.0,2.6833184885200127e-16,0.225,1.0346040243780796e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.6244514540525396e-32,True,True,False
0.095,1.2934590936427403e-34,0.0,2.0393220512752096e-16,3.0730047036298244e-32,0.0,2.6833184885200127e-16,0.225,1.2934590936427403e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.4971383051039664e-32,True,True,False
0.1,1.5774025958544873e-34,0.0,2.14665479081601e-16,5.477247743311213e-32,1.3846594574960137e-35,5.366636977040025e-16,0.225,1.5774025958544873e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,7.164902552085414e-32,True,True,False
0.105,1.8858764896773773e-34,0.0,2.253987530356811e-16,5.477247743311213e-32,1.3846594574960137e-35,5.366636977040025e-16,0.225,1.8858764896773773e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,7.042840625603052e-32,True,True,False
0.11,2.2188607072236737e-34,0.0,2.3613202698976125e-16,5.477247743311213e-32,1.3846594574960137e-35,5.366636977040025e-16,0.225,2.2188607072236737e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.92077869912069e-32,True,True,False
0.115,2.5763553287140957e-34,0.0,2.468653009438414e-16,5.477247743311213e-32,1.3846594574960137e-35,5.366636977040025e-16,0.225,2.5763553287140957e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.798716772638328e-32,True,True,False
0.12,2.958360354495451e-34,0.0,2.575985748979216e-16,5.477247743311213e-32,1.3846594574960137e-35,5.366636977040025e-16,0.225,2.958360354495451e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.676654846155967e-32,True,True,False
0.125,3.3648757848515587e-34,0.0,2.6833184885200176e-16,5.477247743311213e-32,1.3846594574960137e-35,5.366636977040025e-16,0.225,3.3648757848515587e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.554592919673605e-32,True,True,False
0.13,3.7959016200176317e-34,0.0,2.7906512280608193e-16,5.477247743311213e-32,1.3846594574960137e-35,5.366636977040025e-16,0.225,3.7959016200176317e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.432530993191243e-32,True,True,False
0.135,4.251437860190784e-34,0.0,2.897983967601621e-16,5.477247743311213e-32,1.3846594574960137e-35,5.366636977040025e-16,0.225,4.251437860190784e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.310469066708882e-32,True,True,False
0.14,4.731484505537834e-34,0.0,3.005316707142423e-16,5.477247743311213e-32,1.3846594574960137e-35,5.366636977040025e-16,0.225,4.731484505537834e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.188407140226522e-32,True,True,False
0.145,5.236041556201215e-34,0.0,3.1126494466832245e-16,5.477247743311213e-32,1.3846594574960137e-35,5.366636977040025e-16,0.225,5.236041556201215e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.066345213744161e-32,True,True,False
0.15,5.7651090123035096e-34,0.0,3.219982186224026e-16,8.068839714767231e-32,5.498865459939452e-35,8.049955465560065e-16,0.225,5.7651090123035096e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,1.0029679085971968e-31,True,True,False
0.155,6.318686873950966e-34,0.0,3.327314925764828e-16,8.068839714767231e-32,5.498865459939452e-35,8.049955465560065e-16,0.225,6.318686873950966e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,9.907617159489608e-32,True,True,False
0.16,6.896775141236287e-34,0.0,3.4346476653056296e-16,8.068839714767231e-32,5.498865459939452e-35,8.049955465560065e-16,0.225,6.896775141236287e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,9.785555233007247e-32,True,True,False
0.165,7.499373814240838e-34,0.0,3.5419804048464313e-16,8.068839714767231e-32,5.498865459939452e-35,8.049955465560065e-16,0.225,7.499373814240838e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,9.663493306524886e-32,True,True,False
0.17,8.126482893036414e-34,0.0,3.649313144387233e-16,8.068839714767231e-32,5.498865459939452e-35,8.049955465560065e-16,0.225,8.126482893036414e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,9.541431380042526e-32,True,True,False
0.17500000000000002,8.778102377686697e-34,0.0,3.7566458839280347e-16,8.068839714767231e-32,5.498865459939452e-35,8.049955465560065e-16,0.225,8.778102377686697e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,9.419369453560165e-32,True,True,False
0.18,9.454232268248429e-34,0.0,3.8639786234688364e-16,8.068839714767231e-32,5.498865459939452e-35,8.049955465560065e-16,0.225,9.454232268248429e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,9.297307527077804e-32,True,True,False
0.185,1.0154872564772377e-33,0.0,3.971311363009638e-16,8.068839714767231e-32,5.498865459939452e-35,8.049955465560065e-16,0.225,1.0154872564772377e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,9.175245600595444e-32,True,True,False
0.19,1.088002326730416e-33,0.0,4.07864410255044e-16,8.068839714767231e-32,5.498865459939452e-35,8.049955465560065e-16,0.225,1.088002326730416e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,9.053183674113083e-32,True,True,False
0.195,1.1629684375884903e-33,0.0,4.1859768420912416e-16,8.068839714767231e-32,5.498865459939452e-35,8.049955465560065e-16,0.225,1.1629684375884903e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,8.931121747630722e-32,True,True,False
0.2,1.2403855890551822e-33,0.0,4.2933095816320433e-16,1.0748591934959703e-31,9.746463100989917e-35,1.0733273954080108e-15,0.225,1.2403855890551822e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.3033431783455302e-31,True,True,False
0.20500000000000002,1.3235139923745004e-33,0.0,4.2933095816320433e-16,1.0748591934959703e-31,9.746463100989917e-35,1.0733273954080108e-15,0.225,1.3235139923745004e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.2584020390596189e-31,True,True,False
0.21,1.4154270364109418e-33,0.0,4.2933095816320433e-16,1.0748591934959703e-31,9.746463100989917e-35,1.0733273954080108e-15,0.225,1.4154270364109418e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.2152197104265821e-31,True,True,False
0.215,1.5157670028456776e-33,0.0,4.2933095816320433e-16,1.0748591934959703e-31,9.746463100989917e-35,1.0733273954080108e-15,0.225,1.5157670028456776e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.173744659653688e-31,True,True,False
0.22,1.624185915097691e-33,0.0,4.2933095816320433e-16,1.0748591934959703e-31,9.746463100989917e-35,1.0733273954080108e-15,0.225,1.624185915097691e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.1339250537884488e-31,True,True,False
0.225,1.740345592092898e-33,0.0,4.2933095816320433e-16,1.0748591934959703e-31,9.746463100989917e-35,1.0733273954080108e-15,0.225,1.740345592092898e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.095708903041805e-31,True,True,False
0.23,1.863917687327958e-33,0.0,4.2933095816320433e-16,1.0748591934959703e-31,9.746463100989917e-35,1.0733273954080108e-15,0.225,1.863917687327958e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.059044303730889e-31,True,True,False
0.23500000000000001,1.994583670076025e-33,0.0,4.2933095816320433e-16,1.0748591934959703e-31,9.746463100989917e-35,1.0733273954080108e-15,0.225,1.994583670076025e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.02387965400758e-31,True,True,False
0.24,2.1320347702583117e-33,0.0,4.2933095816320433e-16,1.0748591934959703e-31,9.746463100989917e-35,1.0733273954080108e-15,0.225,2.1320347702583117e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,9.901638965762413e-32,True,True,False
0.245,2.2759718667753003e-33,0.0,4.2933095816320433e-16,1.0748591934959703e-31,9.746463100989917e-35,1.0733273954080108e-15,0.225,2.2759718667753003e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,9.578467775842238e-32,True,True,False
0.25,2.426105325789281e-33,0.0,4.2933095816320433e-16,9.123849601354168e-32,5.552361129321433e-34,1.0733273954080108e-15,0.225,2.426105325789281e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,6.707540566738979e-32,True,True,False
0.255,2.5812277035393e-33,0.0,4.2933095816320433e-16,9.123849601354168e-32,5.552361129321433e-34,1.0733273954080108e-15,0.225,2.5812277035393e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,6.502724515113765e-32,True,True,False
0.26,2.7401752519485385e-33,0.0,4.2933095816320433e-16,9.123849601354168e-32,5.552361129321433e-34,1.0733273954080108e-15,0.225,2.7401752519485385e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,6.307057269650921e-32,True,True,False
0.265,2.9027533146970984e-33,0.0,4.2933095816320433e-16,9.123849601354168e-32,5.552361129321433e-34,1.0733273954080108e-15,0.225,2.9027533146970984e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,6.120185555451662e-32,True,True,False
0.27,3.0687799111735766e-33,0.0,4.2933095816320433e-16,9.123849601354168e-32,5.552361129321433e-34,1.0733273954080108e-15,0.225,3.0687799111735766e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.941067955736296e-32,True,True,False
0.275,3.238089568369058e-33,0.0,4.2933095816320433e-16,9.123849601354168e-32,5.552361129321433e-34,1.0733273954080108e-15,0.225,3.238089568369058e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.769947251265994e-32,True,True,False
0.28,3.4105087443627104e-33,0.0,4.2933095816320433e-16,9.123849601354168e-32,5.552361129321433e-34,1.0733273954080108e-15,0.225,3.4105087443627104e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.606686456114531e-32,True,True,False
0.28500000000000003,3.585867156205707e-33,0.0,4.2933095816320433e-16,9.123849601354168e-32,5.552361129321433e-34,1.0733273954080108e-15,0.225,3.585867156205707e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.450989836876592e-32,True,True,False
0.29,3.764000058015149e-33,0.0,4.2933095816320433e-16,9.123849601354168e-32,5.552361129321433e-34,1.0733273954080108e-15,0.225,3.764000058015149e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.302577310099384e-32,True,True,False
0.295,3.944826428724918e-33,0.0,4.2933095816320433e-16,9.123849601354168e-32,5.552361129321433e-34,1.0733273954080108e-15,0.225,3.944826428724918e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.154164783322175e-32,True,True,False
0.3,4.128346278743097e-33,0.0,4.2933095816320433e-16,8.610571149023597e-32,1.3803775555104351e-33,1.0733273954080108e-15,0.225,4.128346278743097e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.1966180811748915e-32,True,True,False
0.305,4.3140316036412926e-33,0.0,4.2933095816320433e-16,8.610571149023597e-32,1.3803775555104351e-33,1.0733273954080108e-15,0.225,4.3140316036412926e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.098247734332183e-32,True,True,False
0.31,4.501354404108864e-33,0.0,4.2933095816320433e-16,8.610571149023597e-32,1.3803775555104351e-33,1.0733273954080108e-15,0.225,4.501354404108864e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,3.9998773874894746e-32,True,True,False
0.315,4.690314697409763e-33,0.0,4.2933095816320433e-16,8.610571149023597e-32,1.3803775555104351e-33,1.0733273954080108e-15,0.225,4.690314697409763e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,3.901507040646766e-32,True,True,False
0.32,4.880912500283773e-33,0.0,4.2933095816320433e-16,8.610571149023597e-32,1.3803775555104351e-33,1.0733273954080108e-15,0.225,4.880912500283773e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,3.803136693804058e-32,True,True,False
0.325,5.073147828967513e-33,0.0,4.2933095816320433e-16,8.610571149023597e-32,1.3803775555104351e-33,1.0733273954080108e-15,0.225,5.073147828967513e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,3.704766346961348e-32,True,True,False
0.33,5.2670206992144016e-33,0.0,4.2933095816320433e-16,8.610571149023597e-32,1.3803775555104351e-33,1.0733273954080108e-15,0.225,5.2670206992144016e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,3.60639600011864e-32,True,True,False
